Filename is not valid.,Filename is not valid.
Finish Generation - Total:,Finish Generation - Total:
- Success:,- Success:
- False:,- False:
Store View,Store View
Name,Name
Visibility,Visibility
Attribute Set,Attribute Set
Status,Status
Type,Type
SKU,SKU
Active filters:,Active filters:
Remove,Remove
Store View:,Store View:
Visibility:,Visibility:
Attribute Set:,Attribute Set:
Status:,Status:
Type:,Type:
SKU:,SKU:
Clear all,Clear all
LOAD MORE,LOAD MORE
Edit Product,Edit Product
File Name:,File Name:
Alt Text:,Alt Text:
Save Config,Save Config
We couldn't find any records.,We couldn't find any records.
Go To SEO Alt Text,Go To SEO Alt Text
Start Generating,Start Generating
Request is not valid.,Request is not valid.
Product ID is not valid.,Product ID is not valid.
Value ID is not valid.,Value ID is not valid.
Save image successfully!,Save image successfully!
SEO Alt Text,SEO Alt Text
Generate Images Alt Text,Generate Images Alt Text
General,General
Enable,Enable
Alt Tag Template,Alt Tag Template
Image Name Template,Image Name Template
Start Generating,Start Generating
Insert Variables,Insert Variables
